               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                  65,              1.1729,             0.95193,              1.5998,             0.84183,             0.81364,             0.87914,             0.65107,                   0,                   0,                   0,            0.003664,            0.003664,            0.003664
                  66,              1.1618,             0.94729,                 1.6,             0.84286,             0.81285,             0.87922,             0.65109,                   0,                   0,                   0,            0.003565,            0.003565,            0.003565
                  67,               1.158,             0.93717,              1.5922,             0.84363,             0.81149,             0.87914,             0.65091,                   0,                   0,                   0,            0.003466,            0.003466,            0.003466
                  68,               1.154,             0.93824,              1.5967,             0.84373,             0.81172,             0.87903,              0.6509,                   0,                   0,                   0,            0.003367,            0.003367,            0.003367
                  69,              1.1433,             0.91947,               1.578,             0.84399,               0.811,               0.879,             0.65089,                   0,                   0,                   0,            0.003268,            0.003268,            0.003268
                  70,              1.1359,             0.91688,              1.5756,             0.84233,             0.81256,             0.87885,             0.65094,                   0,                   0,                   0,            0.003169,            0.003169,            0.003169
                  71,               1.138,             0.90981,              1.5695,             0.84366,             0.81224,               0.879,             0.65094,                   0,                   0,                   0,             0.00307,             0.00307,             0.00307
                  72,               1.134,             0.90677,              1.5673,             0.84357,              0.8123,             0.87887,              0.6514,                   0,                   0,                   0,            0.002971,            0.002971,            0.002971
                  73,              1.1264,             0.90153,              1.5582,             0.84533,             0.81044,             0.87866,             0.65166,                   0,                   0,                   0,            0.002872,            0.002872,            0.002872
                  74,              1.1159,             0.89139,              1.5535,             0.84727,             0.80998,             0.87877,             0.65179,                   0,                   0,                   0,            0.002773,            0.002773,            0.002773
                  75,              1.1201,             0.89472,              1.5615,             0.84716,             0.81016,             0.87872,             0.65209,                   0,                   0,                   0,            0.002674,            0.002674,            0.002674
                  76,              1.1091,             0.88158,              1.5597,             0.84646,             0.81041,             0.87867,             0.65214,                   0,                   0,                   0,            0.002575,            0.002575,            0.002575
                  77,               1.099,             0.87365,              1.5554,              0.8449,             0.81172,             0.87877,             0.65217,                   0,                   0,                   0,            0.002476,            0.002476,            0.002476
                  78,              1.0927,             0.86745,              1.5467,             0.84372,             0.81335,             0.87859,             0.65235,                   0,                   0,                   0,            0.002377,            0.002377,            0.002377
                  79,              1.0819,             0.85619,              1.5337,             0.84137,             0.81619,             0.87845,             0.65246,                   0,                   0,                   0,            0.002278,            0.002278,            0.002278
                  80,               1.084,             0.86247,              1.5414,             0.83797,             0.81913,             0.87856,             0.65252,                   0,                   0,                   0,            0.002179,            0.002179,            0.002179
                  81,              1.0743,             0.84811,                1.53,             0.84096,             0.81685,             0.87819,             0.65249,                   0,                   0,                   0,             0.00208,             0.00208,             0.00208
                  82,              1.0679,              0.8414,              1.5264,             0.84022,             0.81628,             0.87797,             0.65256,                   0,                   0,                   0,            0.001981,            0.001981,            0.001981
                  83,              1.0599,             0.82838,              1.5173,              0.8429,             0.81468,             0.87845,             0.65289,                   0,                   0,                   0,            0.001882,            0.001882,            0.001882
                  84,              1.0548,             0.82498,               1.516,             0.84376,             0.81388,             0.87878,             0.65315,                   0,                   0,                   0,            0.001783,            0.001783,            0.001783
                  85,              0.8648,              0.4876,              1.3542,             0.84439,             0.81434,             0.87907,             0.65332,                   0,                   0,                   0,            0.001684,            0.001684,            0.001684
                  86,              0.8486,              0.4689,              1.3345,             0.84425,             0.81621,             0.87912,             0.65403,                   0,                   0,                   0,            0.001585,            0.001585,            0.001585
                  87,             0.83317,             0.45478,              1.3251,             0.84899,             0.81106,             0.87891,             0.65424,                   0,                   0,                   0,            0.001486,            0.001486,            0.001486
                  88,             0.82086,             0.44802,              1.3228,             0.84886,             0.81122,             0.87888,             0.65442,                   0,                   0,                   0,            0.001387,            0.001387,            0.001387
                  89,             0.80914,             0.43997,              1.3165,             0.84799,              0.8111,             0.87894,             0.65475,                   0,                   0,                   0,            0.001288,            0.001288,            0.001288
                  90,             0.79683,             0.43168,              1.3064,             0.84523,             0.81491,             0.87908,             0.65484,                   0,                   0,                   0,            0.001189,            0.001189,            0.001189
                  91,             0.78321,             0.42512,              1.2975,             0.84561,             0.81432,             0.87934,             0.65483,                   0,                   0,                   0,             0.00109,             0.00109,             0.00109
                  92,             0.77235,             0.41227,              1.2867,             0.84495,             0.81475,             0.87933,             0.65484,                   0,                   0,                   0,            0.000991,            0.000991,            0.000991
                  93,             0.76563,             0.40498,              1.2822,              0.8427,             0.81592,             0.87915,             0.65538,                   0,                   0,                   0,            0.000892,            0.000892,            0.000892
                  94,             0.75074,             0.39604,              1.2721,             0.84126,             0.81723,             0.87878,             0.65558,                   0,                   0,                   0,            0.000793,            0.000793,            0.000793
                  95,             0.74379,             0.39338,              1.2668,             0.84086,             0.81797,             0.87922,             0.65586,                   0,                   0,                   0,            0.000694,            0.000694,            0.000694
                  96,             0.73133,             0.38125,              1.2574,             0.84808,             0.81055,             0.87885,             0.65589,                   0,                   0,                   0,            0.000595,            0.000595,            0.000595
                  97,             0.72396,             0.37809,              1.2557,             0.84837,             0.81058,             0.87894,             0.65624,                   0,                   0,                   0,            0.000496,            0.000496,            0.000496
                  98,             0.71401,             0.37058,              1.2511,             0.84822,             0.81066,             0.87905,             0.65625,                   0,                   0,                   0,            0.000397,            0.000397,            0.000397
                  99,             0.70641,             0.36859,              1.2472,              0.8472,             0.81137,             0.87892,             0.65619,                   0,                   0,                   0,            0.000298,            0.000298,            0.000298
